Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Comprompt Solutions,,,0,"IT Services & Consulting, LLP, Corporate, B2B",LLP,2000 (24 yrs old),Nov-50,,https://www.comprompt.co.in/,Corporate,Small,True,False,False
Vritti Solutions,3.8,(78 reviews),0,"IT Services & Consulting, Public, Corporate, B2B",Public,2005 (19 yrs old),51-200,,http://www.vritti.co.in,Corporate,Small,True,False,False
Rejolut,3.9,(22 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2017 (7 yrs old),Nov-50,,https://rejolut.com,Corporate,Small,True,False,False
TCG Lifesciences,4.1,(280 reviews),0,"Pharmaceutical & Life Sciences, Public, Corporate, B2B",Public,2001 (23 yrs old),1001-5000,,http://www.tcgls.com/,Corporate,Medium,False,True,False
Akshaya Pvt Ltd,,,0,"Real Estate, Engineering & Construction, Private, Corporate, B2C, B2B",Private,1995 (29 yrs old),51-200,,https://www.akshaya.com/,Corporate,Small,True,False,False
Htl Aircon,4.0,(65 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,http://www.htlaircon.com,Corporate,Medium,False,True,False
Religiate Interactive,,,0,"Advertising & Marketing, Private, Corporate, B2C",Private,2014 (10 yrs old),Nov-50,,http://www.religiate.com,Corporate,Small,True,False,False
SHILabs,3.9,(31 reviews),0,"Advertising & Marketing, Design, Private, Corporate, B2B",Private,2006 (18 yrs old),51-200,"Bhubaneswar, India",https://www.shilabs.digital,Corporate,Small,True,False,False
Estee Advisors,,,0,"Financial Services, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,https://esteeadvisors.com/,Corporate,Small,True,False,False
Busigence Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,http://www.busigence.com,Corporate,Small,True,False,False
Paramatrix Technologies,4.4,(162 reviews),0,"Software Product, Private, Corporate, B2B",Private,2004 (20 yrs old),1001-5000,,http://www.paramatrix.com,Corporate,Medium,False,True,False
Emertxe Information Technologies,4.1,(44 reviews),0,"IT Services & Consulting, Corporate, B2C",,2003 (21 yrs old),,,http://www.emertxe.com/trainings/embedded,Corporate,,False,False,False
Best Engineering Aids & Consultancies (BEACON),4.2,(53 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2002 (22 yrs old),51-200,,https://www.beacon-india.com,Corporate,Small,True,False,False
AAF,3.7,(49 reviews),0,"Electronics Manufacturing, Private, Corporate, B2C, B2B",Private,1921 (103 yrs old),1001-5000,,http://www.aafintl.com,Corporate,Medium,False,True,False
Origin Learning Solutions,,,0,"e-Learning / EdTech, Internet, Private, Corporate, B2B",Private,2008 (16 yrs old),201-500,,http://www.originlearning.com,Corporate,Medium,False,True,False
Selectsys,3.7,(139 reviews),0,"BPO / Call Centre, Software Product, Private, Corporate, B2B",Private,2006 (18 yrs old),51-200,,http://www.selectsysindia.com,Corporate,Small,True,False,False
Nilkamal,3.9,(762 reviews),0,"Furniture & Furnishing, Public, Corporate, B2C, B2B",Public,1981 (43 yrs old),1001-5000,,http://www.nilkamal.com,Corporate,Medium,False,True,False
Data Infovision,4.9,(4 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.datainfovision.com,Corporate,Small,True,False,False
Votary Softech Solutions,,,0,"IT Services & Consulting, Corporate, B2C, B2B",,2009 (15 yrs old),201-500,,http://www.votarytech.com,Corporate,Medium,False,True,False
Travel Food Services (TFS),3.9,(501 reviews),0,"Hotels & Restaurants, Retail, Private, Corporate, B2B",Private,2009 (15 yrs old),5001-10000,,http://www.travelfoodservices.com,Corporate,Medium,False,True,False
AWC Software,3.7,(153 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,,http://awcsoftware.net/,Corporate,Medium,False,True,False
WinWire Technologies,3.8,(118 reviews),113 followers ,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,"Santa Clara, California",https://www.winwire.com/,Corporate,Medium,False,True,False
Nobel Hygiene,3.7,(247 reviews),0,"Medical Services / Hospital, Financial Services, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://www.nobelhygiene.com,Corporate,Medium,False,True,False
Dynaflex,,,0,"Packaging & Containers, Private, Corporate, B2B",Private,1994 (30 yrs old),201-500,,http://www.dynacorp.in,Corporate,Medium,False,True,False
VCare,3.8,(333 reviews),0,"Medical Services / Hospital, Financial Services, Beauty & Personal Care, Corporate, B2C, B2B",,2004 (20 yrs old),51-200,,http://vcaretrichology.com/,Corporate,Small,True,False,False
Wenger & Watson,,,0,"Recruitment / Staffing, Corporate, B2B",,2002 (22 yrs old),,,http://wengerwatson.com/,Corporate,,False,False,False
CMS IT Services,,,12.6K followers ,"IT Services & Consulting, Internet, Retail, Textile & Apparel, Private, Startup, Corporate, B2B",Private,2014 (10 yrs old),5001-10000,,http://https://www.cmsitservices.com/,Corporate,Medium,False,True,False
Vesuvius,4.1,(160 reviews),0,"Industrial Equipment / Machinery, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1991 (33 yrs old),10001-50000,,,Corporate,Large,False,False,True
L N Malviya Infra,,,13.1K followers ,"Engineering & Construction, Private, Corporate, B2B",Private,2010 (14 yrs old),1001-5000,,,Corporate,Medium,False,True,False
Navin Fluorine International,4.0,(375 reviews),0,"Chemicals, Public, Corporate, B2C",Public,1967 (57 yrs old),1001-5000,,https://www.nfil.in/,Corporate,Medium,False,True,False
J B Soft System,5.0,(12 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2001 (23 yrs old),Nov-50,,https://www.jbsoftsystem.com/,Corporate,Small,True,False,False
Kitex Garments,3.7,(103 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1992 (32 yrs old),5001-10000,,http://www.kitexgarments.com,Corporate,Medium,False,True,False
Samax Telecom,,,0,"Telecom / ISP, LLP, Corporate, B2B",LLP,2006 (18 yrs old),51-200,,http://www.samax.in,Corporate,Small,True,False,False
Labindia Instruments,4.0,(66 reviews),0,"Industrial Automation, Private, Corporate, B2B",Private,1982 (42 yrs old),51-200,,http://www.labindia.com/labindia_instrument/,Corporate,Small,True,False,False
Atria Convergence Technologies (ACT),4.0,(1.9K reviews),13.4K followers ,"Telecom / ISP, Internet, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),5001-10000,"Bengaluru/Bangalore, India",https://www.actcorp.in/,Corporate,Medium,False,True,False
Mashreq Global Services,,,0,"Financial Services, Private, Corporate, B2C, B2B",Private,1967 (57 yrs old),1001-5000,"Dubai, Dubai",https://www.mashreq.com/en/uae/neo/,Corporate,Medium,False,True,False
GVK Emergency Management and Research Institute (GVK EMRI),3.7,(1.6K reviews),210 followers ,"NGO / Social Services / Industry Associations, Analytics / KPO / Research, Private, Corporate, B2C",Private,2005 (19 yrs old),10001-50000,,,Corporate,Large,False,False,True
Microlink Solution,4.0,(173 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,"Ahmedabad, Gujarat",https://www.microlink.co.in/,Corporate,Medium,False,True,False
Aurigo Software Technologies,4.8,(452 reviews),0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,2003 (21 yrs old),201-500,,http://www.aurigo.com,Corporate,Medium,False,True,False
Azeagaia Development,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,2011 (13 yrs old),Nov-50,,https://azeagaia.com/,Corporate,Small,True,False,False
Crescore Capital,,,0,"Financial Services, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.crescorecapital.com,Corporate,Small,True,False,False
SYS Softech,4.4,(3 reviews),0,"IT Services & Consulting, LLP, Corporate, B2B",LLP,2010 (14 yrs old),Nov-50,,http://www.syssoftech.com,Corporate,Small,True,False,False
Mplussoft,,,0,"IT Services & Consulting, Advertising & Marketing, Private, Corporate, B2B",Private,2011 (13 yrs old),Nov-50,,http://www.mplussoft.com,Corporate,Small,True,False,False
Vagaro,,,0,"Software Product, Private, Corporate, B2C",Private,2009 (15 yrs old),51-200,,http://www.vagaro.com,Corporate,Small,True,False,False
Arth Infosoft,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2005 (19 yrs old),Nov-50,,http://www.arthinfosoft.in,Corporate,Small,True,False,False
Brightsun Travel,,,0,"Travel & Tourism, Private, Corporate, B2B",Private,1986 (38 yrs old),201-500,,https://www.brightsun.co.in/,Corporate,Medium,False,True,False
Flamingo Digital,3.8,(14 reviews),0,"Advertising & Marketing, Private, Corporate, B2B",Private,2015 (9 yrs old),51-200,,https://www.weareflamingo.digital/,Corporate,Small,True,False,False
SOBHA,4.0,(1.6K reviews),0,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1995 (29 yrs old),1001-5000,,https://www.sobha.com/,Corporate,Medium,False,True,False
Sj Contracts,4.3,(230 reviews),0,"Engineering & Construction, Private, Corporate, B2B",Private,1990 (34 yrs old),1001-5000,,https://www.sjcpl.in/,Corporate,Medium,False,True,False
Meril,3.9,(703 reviews),0,"Medical Devices & Equipment, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,"Vapi, India",http://www.merillife.com,Corporate,Medium,False,True,False
Gate6,4.2,(6 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,https://www.gate6.com,Corporate,Small,True,False,False
Centre for Civil Society,4.0,(6 reviews),0,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,1997 (27 yrs old),Nov-50,,http://www.ccs.in,Corporate,Small,True,False,False
VIBES ,,,0,"Fitness & Wellness, Private, Corporate, B2C",Private,1996 (28 yrs old),1001-5000,,http://www.vibes.co.in,Corporate,Medium,False,True,False
EXTINCT FIRE Engineers,,,0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1990 (34 yrs old),51-200,,http://www.extinctfire.com,Corporate,Small,True,False,False
BVG India,4.0,(945 reviews),142 followers ,"Facility Management Services, Internet, Private, Corporate, B2C, B2B",Private,1997 (27 yrs old),50001-100000,,http://www.bvgindia.com,Corporate,Large,False,False,True
Lifecell,,,0,"Biotechnology, Internet, Private, Corporate, B2C, Minicorn",Private,2004 (20 yrs old),1001-5000,,https://www.lifecell.in,Corporate,Medium,False,True,False
Savvysoft Technologies,4.1,(78 reviews),0,"Recruitment / Staffing, Software Product, Private, Corporate",Private,1999 (25 yrs old),501-1000,"Chennai, India",http://www.savvy-it.com,Corporate,Medium,False,True,False
Progression Infonet,4.3,(59 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1995 (29 yrs old),51-200,,https://progression.com,Corporate,Small,True,False,False
Trust Systems and Software (TSSIPL),3.9,(59 reviews),0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,1998 (26 yrs old),201-500,,http://www.softtrust.com/,Corporate,Medium,False,True,False
Clario,3.8,(35 reviews),0,"Clinical Research / Contract Research, Medical Services / Hospital, Pharmaceutical & Life Sciences, Private, Corporate, Foreign MNC, B2B, SaaS",Private,1963 (61 yrs old),1001-5000,"Bengaluru/Bangalore, Karnataka",https://clario.com/,Corporate,Medium,False,True,False
AAF,3.7,(49 reviews),0,"Electronics Manufacturing, Private, Corporate, B2C, B2B",Private,1921 (103 yrs old),1001-5000,,http://www.aafintl.com,Corporate,Medium,False,True,False
Umang Boards,,,0,"Electronics Manufacturing, Private, Corporate, B2B",Private,2001 (23 yrs old),201-500,,http://www.umangboards.com,Corporate,Medium,False,True,False
Omaxe,4.1,(493 reviews),1.4K followers ,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1989 (35 yrs old),1001-5000,,https://www.omaxe.com/,Corporate,Medium,False,True,False
ASG Eye Hospital,3.8,(451 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,2005 (19 yrs old),501-1000,"Jodhpur, India",https://asgeyehospital.com/,Corporate,Medium,False,True,False
Sula Vineyards,4.3,(130 reviews),0,"Food Processing, Private, Corporate, B2C",Private,1996 (28 yrs old),501-1000,,http://sulawines.com,Corporate,Medium,False,True,False
PrismHR,,,4.6K followers ,"Software Product, Private, Corporate, B2B",Private,1985 (39 yrs old),51-200,"Illinois, United States (USA)",,Corporate,Small,True,False,False
Me n Moms,4.3,(454 reviews),0,"Retail, Textile & Apparel, Corporate, B2C",Private,1994 (30 yrs old),501-1000,,,Corporate,Medium,False,True,False
Foliage Outdoors,,,0,"Travel & Tourism, Private, Corporate, B2C, B2B",Private,2000 (24 yrs old),Nov-50,,,Corporate,Small,True,False,False
Jyothy Labs,4.2,(466 reviews),272 followers ,"FMCG, Private, Corporate, B2C",Private,1983 (41 yrs old),1001-5000,"Mumbai, Maharashtra",https://www.jyothylabs.com/,Corporate,Medium,False,True,False
SDG Corporation,4.3,(103 reviews),142 followers ,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1993 (31 yrs old),201-500,,,Corporate,Medium,False,True,False
Indo European Educational Services,4.0,(68 reviews),0,"Education / Training, Public, Corporate, B2C",Public,2003 (21 yrs old),Nov-50,,http://www.indoeuropean.in,Corporate,Small,True,False,False
Eureka Exim,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1996 (28 yrs old),Nov-50,,https://www.eepl.com/,Corporate,Small,True,False,False
Child help Foundation,3.8,(45 reviews),0,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,2009 (15 yrs old),Nov-50,,https://www.childhelpfoundation.in/,Corporate,Small,True,False,False
Vikram Hospital,4.0,(65 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,2009 (15 yrs old),501-1000,,,Corporate,Medium,False,True,False
Orane International,3.8,(72 reviews),0,"Education / Training, Private, Corporate, B2C",Private,2009 (15 yrs old),501-1000,,http://orane.com,Corporate,Medium,False,True,False
Eclat Infotech,3.7,(30 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2007 (17 yrs old),Nov-50,,http://www.eclatinfotech.com,Corporate,Small,True,False,False
Colgate Palmolive,4.2,(749 reviews),737 followers ,"FMCG, Public, Corporate, B2C, B2B",Public,1937 (87 yrs old),10001-50000,,https://www.colgatepalmolive.co.in/,Corporate,Large,False,False,True
A One Innovation Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.aoneinnovation.com,Corporate,Small,True,False,False
DCW,4.0,(134 reviews),0,"Chemicals, Public, Corporate, B2B",Public,1925 (99 yrs old),1001-5000,,http://www.dcwltd.com,Corporate,Medium,False,True,False
Websitica Technologies,,,0,"IT Services & Consulting, Internet, LLP, Corporate, B2B",LLP,2016 (8 yrs old),Nov-50,,https://websitica.com/,Corporate,Small,True,False,False
Bullmen Realty,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,2015 (9 yrs old),201-500,,http://bullmenrealty.com/,Corporate,Medium,False,True,False
H G Infra Engineering (HGIEL),4.4,(786 reviews),0,"Engineering & Construction, Railways, Public, Corporate, B2B",Public,2003 (21 yrs old),1001-5000,,http://www.hginfra.com,Corporate,Medium,False,True,False
Kutchina,3.8,(308 reviews),0,"Consumer Electronics & Appliances, Private, Corporate, B2C",Private,2003 (21 yrs old),201-500,,https://www.kutchina.com/,Corporate,Medium,False,True,False
Ugro Capital,3.8,(289 reviews),0,"NBFC, Public, Corporate, B2B",Public,1993 (31 yrs old),1001-5000,,http://ugrocapital.com,Corporate,Medium,False,True,False
Dmi Finance,3.6,(71 reviews),0,"NBFC, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),501-1000,,https://www.dmifinance.in,Corporate,Medium,False,True,False
Hakuna Matata,,,0,"Software Product, Internet, Private, Corporate, B2B",Private,2006 (18 yrs old),01-Oct,,,Corporate,Small,True,False,False
Dhonaadhi Hitec Innovations,,,0,"Law Enforcement / Security Services, Private, Corporate, B2C, B2B",Private,1993 (31 yrs old),Nov-50,,http://www.dhonaadhi.in,Corporate,Small,True,False,False
Tatvik,,,0,"Telecom / ISP, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.tatvik.com,Corporate,Small,True,False,False
Care Hospital,4.2,(485 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1997 (27 yrs old),1001-5000,,https://www.carehospitals.com/,Corporate,Medium,False,True,False
Mercedes Benz,4.0,(1.3K reviews),72.1K followers ,"IT Services & Consulting, Public, Corporate, B2B",Public,1996 (28 yrs old),5001-10000,Bengaluru/Bangalore,https://www.mbrdi.co.in/,Corporate,Medium,False,True,False
Teerthanker Mahaveer University (TMU),3.6,(129 reviews),0,"Education / Training, Corporate, B2C",,2008 (16 yrs old),501-1000,,https://www.tmu.ac.in,Corporate,Medium,False,True,False
Lokmat Media,4.0,(122 reviews),0,"Printing & Publishing, Private, Corporate, B2C",Private,1971 (53 yrs old),1001-5000,,http://lokmat.net/,Corporate,Medium,False,True,False
Greenvision Technologies,4.1,(26 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),201-500,,,Corporate,Medium,False,True,False
Suresh Gyan Vihar University,3.7,(58 reviews),0,"Education / Training, Private, Corporate, B2C",Private,1993 (31 yrs old),201-500,,https://www.gyanvihar.org/,Corporate,Medium,False,True,False
